CNPJ_FUNDO,DENOM_SOCIAL,VL_PATRIM_LIQ
01.231.931/0001-63,OMEGA - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO,8198730.77
01.271.827/0001-00,ITAÚ PRIVATE RENDA FIXA EXCELLENCE - FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,345568362.51
01.309.845/0001-26,CSHG SUNRISE FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉD PRIV RESPONSABILIDADE LIMITADA,158788026.83
01.340.605/0001-94,ITAÚ BBA CORPORATE RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2730311.71
01.353.260/0001-03,BANRISUL AUTOMÁTICO FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,1732149800.46
01.353.626/0001-44,SELEÇÃO GUIDE MULTIMERCADO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,60056976.75
01.361.072/0001-27,TOP RENDA FIXA MIX CRÉDITO PRIVADO LONGO PRAZO - FDO DE INVEST EM COTAS DE FDOS DE INVEST,6427105.81
01.361.073/0001-71,TOP RENDA MISTA CORP RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO - FDO DE INV EM COTAS DE FDOS DE INVEST,19436402.77
01.361.074/0001-16,TOP RENDA FIXA MIX CRÉDITO PRIVADO LONGO PRAZO - FUNDO DE INVESTIMENTO,3310592216.32
01.375.954/0001-41,PLANNER FUNDO DE INVESTIMENTO RENDA FIXA CURTO PRAZO,224480158.06
01.380.701/0001-66,SANTANDER PB VII MULT CRÉD PRIV FI,92421469.31
01.392.020/0001-18,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO PGBL/VGBL FUTURE COMPOSTO III,34250468.49
01.392.021/0001-62,BRADESCO H FC DE FUNDOS DE INVESTIMENTO RENDA FIXA PGBL/VGBL FUTURE,814761762.26
01.410.032/0001-28,BB CAP FUNDO DE INVESTIMENTO RENDA FIXA,2202368850.93
01.424.041/0001-78,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ÁGUIA,93204583.25
01.430.938/0001-04,BTG PACTUAL DOLAR FUNDO DE INVESTIMENTO CAMBIAL,101374967.22
01.433.414/0001-77,ITAÚ PERSONNALITÉ PRÊMIO RENDA FIXA REFERENCIADO DI FUNDO DE INVEST EM COTAS DE FDOS DE INVEST,37958977.97
01.434.078/0001-87,RT SCALA RENDA FIXA FUNDO DE INVESTIMENTO,1202341941.72
01.464.595/0001-07,CSHG FUNDO DE INVESTIMENTO CAMBIAL,11078895.77
01.490.766/0001-64,WESTERN ASSET DI GOLD FICFI RENDA FIXA REFERENCIADO,6151545.37
01.496.940/0001-86,BRAM H FUNDO DE INVESTIMENTO AÇÕES INSTITUCIONAL,154189402.38
01.508.152/0001-62,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA ASSURANCE,5968285.55
01.525.057/0001-77,FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES CAIXA IBOVESPA,90977622.38
01.536.201/0001-70,TARGET D - FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,107133473.6
01.541.649/0001-82,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO GOLDEN PROFIT CONSERV,3282484.04
01.561.079/0001-92,WESTERN ASSET DI DAILY FICFI RENDA FIXA REFERENCIADO,4154736.08
01.562.582/0001-62,BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ATIVO,376999725.02
01.578.474/0001-88,BB AÇÕES TECNOLOGIA BDR NÍVEL I FUNDO DE INVESTIMENTO,565962524.22
01.587.403/0001-41,BANESTES VIP DI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,299174040.87
01.590.019/0001-06,ITAÚ PRIVATE SELECT AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,2958520.12
01.591.605/0001-67,SANTANDER RENDA FIXA REFERENCIADO DI INSTITUCIONAL FUNDO DE INVESTIMENTO,5088380899.95
01.597.187/0001-15,SPECIAL RENDA FIXA REFERENCIADO DI - FUNDO DE INVESTIMENTO,102250359448.01
01.597.275/0001-17,ITAÚ RENDA FIXA FLOOR - FUNDO DE INVESTIMENTO,1308812825.14
01.599.628/0001-18,ITAÚ CORP PLUS RENDA FIXA REFERENCIADO DI - FICFI,6179824438.55
01.603.578/0001-03,ICATU VANGUARDA XI FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO,14895409.4
01.605.280/0001-24,WESTERN ASSET DI MASTER FICFI RENDA FIXA REFERENCIADO,30003854.63
01.606.509/0001-45,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO PGBL/VGBL FUTURE COMPOSTO II,49772394.35
01.606.543/0001-10,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO ALOCAÇÃO MODERADA,178556490.77
01.606.544/0001-64,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FI MULTIMERCADO GOLDEN PROFIT DINÂMICO,15960713.14
01.606.545/0001-09,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA MACRO,528583282.16
01.606.546/0001-53,BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA MERCÚRIO,133451046.18
01.606.552/0001-00,BRADESCO FUNDO DE INVESTIMENTO MULTIMERCADO PLUS,2076002661.81
01.608.399/0001-50,CSHG TOP AÇÕES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,51451337.64
01.608.572/0001-10,BB TOP RF MODERADO FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI LONGO PRAZO,13102652496.9
01.608.573/0001-65,BB TOP RENDA FIXA CURTO PRAZO FUNDO DE INVESTIMENTO,81009382144.28
01.613.104/0001-34,ITAU PRIVATE CONSERVADOR FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA,18512883.16
01.615.744/0001-83,SANTANDER RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO EQUILIBRIO ADVANCED FIC FI,6802828032.79
01.616.137/0001-38,FUNDO DE INVESTIMENTO EM COTAS DE FDOS DE INVEST VOYAGER DI - RENDA FIXA REFERENCIADO DI - EXCLUSIVO,4208099.0
01.620.027/0001-40,FUNDO DE INVESTIMENTO PB NICE MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR,14716686.82
01.620.606/0001-92,WESTERN ASSET BALANCEADO MULTIMERCADO FUNDO DE INVESTIMENTO,2584847.77
01.622.154/0001-88,BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON,1068029703.87
01.623.379/0001-59,FPP FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO MODERADO,695680311.59
01.623.389/0001-94,TRADIÇÃO Q FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,10437577.59
